mae,rmse,p,d,q,P,D,Q,s
2.742153523628492,3.0402189785397895,1,1,1,1,0,0,12
2.742171873079725,3.371881915301883,1,2,0,0,1,2,12
2.744604813280799,3.3590136508402164,3,2,2,1,1,2,12
2.7456762869561855,3.437029471235124,3,1,1,1,0,0,12
2.7463359185208,3.6278174384366344,2,0,2,0,1,0,12
2.750028568422575,3.7573850050178415,2,1,0,2,0,0,12
2.754868532973949,3.410805152018665,1,1,0,2,1,1,12
2.7610225542304163,3.249186497635326,1,0,2,2,1,1,12
2.7613479667208387,3.6637457097014554,1,0,3,2,1,2,12
2.76324925880162,3.055568979813353,2,1,3,1,0,1,12
2.7699674050170757,3.012831323779608,3,2,0,0,1,1,12
2.773460935982415,3.3362358200278144,0,1,0,2,1,0,12
2.775738279476592,3.3207744347945476,2,1,2,2,1,2,12
2.7890364280838003,3.305087393585678,3,1,3,0,1,2,12
2.792164194469893,3.4697765753425065,2,1,1,0,0,1,12
2.8023279295731838,3.772776768820302,2,1,2,2,0,0,12
2.8093836349590475,3.4230762935378256,0,1,0,0,0,2,12
2.8107477020345084,3.3240505290219837,2,1,1,2,0,2,12
2.819116328740019,3.1742620083531716,0,1,2,1,0,0,12
2.820668793393166,3.8706721016901104,3,0,1,0,1,0,12
2.821654165407345,3.2641226683297577,1,0,2,1,1,0,12
2.821971209041814,3.349493217882917,3,1,0,2,1,2,12
2.8263242862030142,3.906544971167482,0,2,0,2,0,2,12
2.827597363760856,3.378887772589582,0,1,1,1,0,1,12
2.828851121970056,3.6696867444064867,1,0,3,1,1,2,12
2.8357138523499943,3.488059482441835,3,2,3,2,1,1,12
2.83791372458855,4.081921886695825,0,1,3,1,1,1,12
2.839034088234422,3.8089934904533034,1,0,2,0,1,0,12
2.839270110028433,3.910656010712505,0,1,2,2,0,0,12
2.84869197004354,3.1008387767499577,3,1,0,0,0,1,12
2.849119343866866,3.4175419413111428,0,1,1,0,0,1,12
2.8518766816731027,3.475441052953893,1,2,2,1,1,2,12
2.8520094264002758,3.505428298002741,2,2,3,1,1,2,12
2.8523043799643366,3.5617706966803158,3,1,0,1,0,1,12
2.8524212704457446,3.754598655618878,0,0,3,1,1,2,12
2.8530982135789067,3.521573227544537,2,1,0,0,0,2,12
2.8547989618833487,3.528279827000237,3,1,0,0,0,2,12
2.8565307696709925,3.664013135255837,0,1,1,2,1,1,12
2.861639160575476,3.781308366057797,0,0,2,0,1,2,12
2.8618267566077926,3.964551965623251,0,0,3,0,1,2,12
2.8644837083186276,3.3337084758017443,1,1,1,2,1,2,12
2.8652097834012324,3.362372222381132,0,1,1,2,1,0,12
2.8653560077164237,3.164669292869299,0,0,0,0,1,1,12
2.8676627853322127,3.298364056460258,2,2,1,2,0,1,12
2.87108369725172,3.433943618073873,3,1,2,0,1,2,12
2.8721250575639923,3.5803256769303515,3,1,1,1,0,2,12
2.8740853469915093,3.9596986005473367,2,1,2,1,0,2,12
2.874356593933148,3.803424937177471,1,1,1,2,0,2,12
2.8745642934096804,3.2551196334549126,3,1,3,1,0,1,12
2.874662876806306,3.5953658048886386,3,1,0,1,0,0,12
2.875144681400128,3.5636677942721984,3,1,1,1,0,1,12
2.8766986292820653,3.5565916485104974,2,1,1,0,0,2,12
2.8775445906585437,3.4513628766018685,3,1,0,2,1,1,12
2.878623962699397,3.798205311385282,1,0,1,1,1,1,12
2.879420395407171,3.2164928030072906,2,2,0,2,0,1,12
2.882652974636789,3.3561248436050213,0,1,1,2,1,2,12
2.8862300098143434,3.331450022120486,1,1,3,2,1,2,12
2.887595034639573,3.390921927133095,1,2,2,2,1,2,12
